1782877585.859617 server started (7833): version 3.7, socket /tmp/tmux-1000/default, protocol 8
1782877585.859720 on Linux 7.0.14-arch1-1 #1 SMP PREEMPT_DYNAMIC Sat, 27 Jun 2026 16:15:10 +0000
1782877585.859783 using libevent 2.1.12-stable poll
1782877585.859812 using ncurses 6.6 20251230
1782877585.860216 input_key_build: 0x200000005 (PasteStart) is \033[200~
1782877585.860259 input_key_build: 0x200000006 (PasteEnd) is \033[201~
1782877585.860283 input_key_build: 0x200000008 (F1) is \033OP
1782877585.860305 input_key_build: 0x200000009 (F2) is \033OQ
1782877585.860327 input_key_build: 0x20000000a (F3) is \033OR
1782877585.860349 input_key_build: 0x20000000b (F4) is \033OS
1782877585.860385 input_key_build: 0x20000000c (F5) is \033[15~
1782877585.860408 input_key_build: 0x20000000d (F6) is \033[17~
1782877585.860430 input_key_build: 0x20000000e (F7) is \033[18~
1782877585.860452 input_key_build: 0x20000000f (F8) is \033[19~
1782877585.860474 input_key_build: 0x200000010 (F9) is \033[20~
1782877585.860496 input_key_build: 0x200000011 (F10) is \033[21~
1782877585.860518 input_key_build: 0x200000012 (F11) is \033[23~
1782877585.860548 input_key_build: 0x200000013 (F12) is \033[24~
1782877585.860571 input_key_build: 0x200000014 (IC) is \033[2~
1782877585.860593 input_key_build: 0x200000015 (DC) is \033[3~
1782877585.860616 input_key_build: 0x200000016 (Home) is \033[1~
1782877585.860638 input_key_build: 0x200000017 (End) is \033[4~
1782877585.860661 input_key_build: 0x200000018 (NPage) is \033[6~
1782877585.860684 input_key_build: 0x200000019 (PPage) is \033[5~
1782877585.860708 input_key_build: 0x20000001a (BTab) is \033[Z
1782877585.860732 input_key_build: 0x20000001b (Up) is \033[A
1782877585.860754 input_key_build: 0x20000001c (Down) is \033[B
1782877585.860777 input_key_build: 0x20000001d (Left) is \033[D
1782877585.860799 input_key_build: 0x20000001e (Right) is \033[C
1782877585.860820 input_key_build: 0x20000001f (KP/) is /
1782877585.860843 input_key_build: 0x200000020 (KP*) is *
1782877585.860866 input_key_build: 0x200000021 (KP-) is -
1782877585.860888 input_key_build: 0x200000022 (KP7) is 7
1782877585.860910 input_key_build: 0x200000023 (KP8) is 8
1782877585.860932 input_key_build: 0x200000024 (KP9) is 9
1782877585.860954 input_key_build: 0x200000025 (KP+) is +
1782877585.860994 input_key_build: 0x200000026 (KP4) is 4
1782877585.861015 input_key_build: 0x200000027 (KP5) is 5
1782877585.861031 input_key_build: 0x200000028 (KP6) is 6
1782877585.861047 input_key_build: 0x200000029 (KP1) is 1
1782877585.861064 input_key_build: 0x20000002a (KP2) is 2
1782877585.861080 input_key_build: 0x20000002b (KP3) is 3
1782877585.861097 input_key_build: 0x20000002c (KPEnter) is \n
1782877585.861114 input_key_build: 0x20000002d (KP0) is 0
1782877585.861129 input_key_build: 0x20000002e (KP.) is .
1782877585.861146 input_key_build: 0x200200000008 (C-F1) is \033[1;5P
1782877585.861162 input_key_build: 0x200200000009 (C-F2) is \033[1;5Q
1782877585.861179 input_key_build: 0x20020000000a (C-F3) is \033[1;5R
1782877585.861195 input_key_build: 0x20020000000b (C-F4) is \033[1;5S
1782877585.861212 input_key_build: 0x20020000000c (C-F5) is \033[15;5~
1782877585.861227 input_key_build: 0x20020000000d (C-F6) is \033[17;5~
1782877585.861244 input_key_build: 0x20020000000e (C-F7) is \033[18;5~
1782877585.861261 input_key_build: 0x20020000000f (C-F8) is \033[19;5~
1782877585.861277 input_key_build: 0x200200000010 (C-F9) is \033[20;5~
1782877585.861293 input_key_build: 0x200200000011 (C-F10) is \033[21;5~
1782877585.861309 input_key_build: 0x200200000012 (C-F11) is \033[23;5~
1782877585.861325 input_key_build: 0x200200000013 (C-F12) is \033[24;5~
1782877585.861341 input_key_build: 0x200200000014 (C-IC) is \033[2;5~
1782877585.861357 input_key_build: 0x200200000015 (C-DC) is \033[3;5~
1782877585.861373 input_key_build: 0x200200000016 (C-Home) is \033[1;5H
1782877585.861389 input_key_build: 0x200200000017 (C-End) is \033[1;5F
1782877585.861405 input_key_build: 0x200200000018 (C-NPage) is \033[6;5~
1782877585.861421 input_key_build: 0x200200000019 (C-PPage) is \033[5;5~
1782877585.861455 input_key_build: 0x20020000001b (C-Up) is \033[1;5A
1782877585.861487 input_key_build: 0x20020000001c (C-Down) is \033[1;5B
1782877585.861505 input_key_build: 0x20020000001d (C-Left) is \033[1;5D
1782877585.861522 input_key_build: 0x20020000001e (C-Right) is \033[1;5C
1782877585.861539 input_key_build: 0x400200000008 (S-F1) is \033[1;2P
1782877585.861556 input_key_build: 0x400200000009 (S-F2) is \033[1;2Q
1782877585.861572 input_key_build: 0x40020000000a (S-F3) is \033[1;2R
1782877585.861588 input_key_build: 0x40020000000b (S-F4) is \033[1;2S
1782877585.861604 input_key_build: 0x40020000000c (S-F5) is \033[15;2~
1782877585.861621 input_key_build: 0x40020000000d (S-F6) is \033[17;2~
1782877585.861637 input_key_build: 0x40020000000e (S-F7) is \033[18;2~
1782877585.861654 input_key_build: 0x40020000000f (S-F8) is \033[19;2~
1782877585.861671 input_key_build: 0x400200000010 (S-F9) is \033[20;2~
1782877585.861688 input_key_build: 0x400200000011 (S-F10) is \033[21;2~
1782877585.861704 input_key_build: 0x400200000012 (S-F11) is \033[23;2~
1782877585.861723 input_key_build: 0x400200000013 (S-F12) is \033[24;2~
1782877585.861740 input_key_build: 0x400200000014 (S-IC) is \033[2;2~
1782877585.861756 input_key_build: 0x400200000015 (S-DC) is \033[3;2~
1782877585.861773 input_key_build: 0x400200000016 (S-Home) is \033[1;2H
1782877585.861790 input_key_build: 0x400200000017 (S-End) is \033[1;2F
1782877585.861807 input_key_build: 0x400200000018 (S-NPage) is \033[6;2~
1782877585.861824 input_key_build: 0x400200000019 (S-PPage) is \033[5;2~
1782877585.861841 input_key_build: 0x40020000001b (S-Up) is \033[1;2A
1782877585.861857 input_key_build: 0x40020000001c (S-Down) is \033[1;2B
1782877585.861874 input_key_build: 0x40020000001d (S-Left) is \033[1;2D
1782877585.861901 input_key_build: 0x40020000001e (S-Right) is \033[1;2C
